pair_type,include,directional
artifact|artifact,False,False
artifact|creat,False,False
artifact|faction,False,True
artifact|org,False,True
artifact|person,False,False
artifact|place,False,True
artifact|player,False,False
artifact|ref,False,False
creat|creat,False,False
creat|faction,False,False
creat|org,False,False
creat|person,False,False
creat|place,False,False
creat|player,False,False
creat|ref,False,False
faction|faction,True,False
faction|org,False,True
faction|person,False,True
faction|place,False,True
faction|player,False,False
faction|ref,False,False
org|org,False,False
org|person,False,True
org|place,False,True
org|player,False,False
org|ref,False,False
person|person,False,False
person|place,False,True
person|player,False,True
person|ref,False,False
place|place,False,False
place|player,False,False
place|ref,False,False
player|player,False,False
player|ref,False,False
