predicate,include,symmetric,relationship_class
allied_with,True,True,political
ambassador_to,True,False,diplomatic
at_war_with,True,True,political
based_at,True,False,location
belongs_to,True,False,ownership
built,True,False,event
conquered,True,False,event
current_member_of,True,False,membership
defender_of,True,False,political
former_member_of,True,False,membership
invaded,True,False,event
investigating,True,False,activity
knows_about,True,False,knowledge
leader_of,True,False,leadership
military_leader_of,True,False,leadership
neighbor_with,True,True,geopolitical
operates_at,True,False,location
opposes,True,True,political
patrols_to,True,False,activity
reports_to,True,False,organizational
rescued,True,False,event
spiritual_leader_of,True,False,leadership
target_of,True,False,event
tortured_by,True,False,event
