subject_id,predicate,object_id,subject_type,object_type,pair_type,symmetric,relationship_class
faction_hands,allied_with,faction_thieves_guild,faction,faction,faction|faction,True,political
faction_michaeline,allied_with,faction_remedy,faction,faction,faction|faction,True,political
faction_remedy,allied_with,faction_spencer,faction,faction,faction|faction,True,political
faction_remedy,allied_with,faction_tolanites,faction,faction,faction|faction,True,political
faction_sleepsong,allied_with,person_kir,faction,person,faction|person,True,political
faction_thieves_guild,allied_with,person_victor,faction,person,faction|person,True,political
org_iwtc,allied_with,place_stonehome,org,place,org|place,True,political
org_ravencrest,allied_with,person_avarna,org,person,org|person,True,political
person_jane,ambassador_to,org_myconids,person,org,person|org,False,diplomatic
org_king,at_war_with,place_tolan,org,place,org|place,True,political
artifact_folly,based_at,place_crafthold,artifact,place,artifact|place,False,location
faction_burzath,based_at,place_northbend,faction,place,faction|place,False,location
faction_halverin,based_at,place_elysia,faction,place,faction|place,False,location
faction_hands,based_at,place_elysia,faction,place,faction|place,False,location
faction_michaeline,based_at,place_tolan,faction,place,faction|place,False,location
faction_modrons,based_at,org_spire,faction,org,faction|org,False,location
faction_remedy,based_at,place_elysia,faction,place,faction|place,False,location
faction_sleepsong,based_at,place_dhassa,faction,place,faction|place,False,location
faction_tolanites,based_at,place_tolan,faction,place,faction|place,False,location
org_academy,based_at,place_elysia,org,place,org|place,False,location
org_iwtc,based_at,place_crafthold,org,place,org|place,False,location
org_king,based_at,place_dhassa,org,place,org|place,False,location
org_kirchefyre,based_at,place_torenth,org,place,org|place,False,location
org_myconids,based_at,place_crafthold,org,place,org|place,False,location
org_party,based_at,place_crafthold,org,place,org|place,False,location
org_ravencrest,based_at,place_dhassa,org,place,org|place,False,location
artifact_glory,belongs_to,person_unala,artifact,person,artifact|person,False,ownership
artifact_iris,belongs_to,person_fulbert,artifact,person,artifact|person,False,ownership
creat_Ash,belongs_to,person_bre,creat,person,creat|person,False,ownership
creat_berry,belongs_to,person_mercy,creat,person,creat|person,False,ownership
creat_huana,belongs_to,person_credus,creat,person,creat|person,False,ownership
creat_little_bear,belongs_to,person_alivyre,creat,person,creat|person,False,ownership
creat_mine,belongs_to,person_unala,creat,person,creat|person,False,ownership
creat_pet,belongs_to,person_unala,creat,person,creat|person,False,ownership
faction_ilguz,built,place_guldrur,faction,place,faction|place,False,event
faction_burzath,conquered,place_guldrur,faction,place,faction|place,False,event
faction_jackals,conquered,place_wolfstream,faction,place,faction|place,False,event
org_party,conquered,faction_jackals,org,faction,org|faction,False,event
faction_burzath,current_member_of,org_orcs,faction,org,faction|org,False,membership
faction_ilguz,current_member_of,org_orcs,faction,org,faction|org,False,membership
faction_krach-ul,current_member_of,org_orcs,faction,org,faction|org,False,membership
faction_michaeline,current_member_of,faction_tolanites,faction,faction,faction|faction,False,membership
person_alivyre,current_member_of,org_iwtc,person,org,person|org,False,membership
person_alivyre,current_member_of,org_king,person,org,person|org,False,membership
person_alivyre,current_member_of,org_party,person,org,person|org,False,membership
person_aniya,current_member_of,org_party,person,org,person|org,False,membership
person_avarna,current_member_of,faction_tolanites,person,faction,person|faction,False,membership
person_caldwell,current_member_of,org_king,person,org,person|org,False,membership
person_cara,current_member_of,org_party,person,org,person|org,False,membership
person_credus,current_member_of,org_party,person,org,person|org,False,membership
person_cullen,current_member_of,org_king,person,org,person|org,False,membership
person_cunai,current_member_of,org_party,person,org,person|org,False,membership
person_elaris,current_member_of,org_party,person,org,person|org,False,membership
person_emily,current_member_of,faction_remedy,person,faction,person|faction,False,membership
person_evaine,current_member_of,faction_tolanites,person,faction,person|faction,False,membership
person_faeryne,current_member_of,org_iwtc,person,org,person|org,False,membership
person_faeryne,current_member_of,org_party,person,org,person|org,False,membership
person_henry,current_member_of,org_iwtc,person,org,person|org,False,membership
person_henry,current_member_of,org_king,person,org,person|org,False,membership
person_holly,current_member_of,org_party,person,org,person|org,False,membership
person_joram,current_member_of,faction_tolanites,person,faction,person|faction,False,membership
person_katy,current_member_of,org_party,person,org,person|org,False,membership
person_kavar,current_member_of,org_king,person,org,person|org,False,membership
person_liacyne,current_member_of,org_party,person,org,person|org,False,membership
person_liavarah,current_member_of,org_party,person,org,person|org,False,membership
person_loris,current_member_of,org_king,person,org,person|org,False,membership
person_luminia,current_member_of,org_party,person,org,person|org,False,membership
person_newberry,current_member_of,org_king,person,org,person|org,False,membership
person_piers,current_member_of,faction_remedy,person,faction,person|faction,False,membership
person_rhys,current_member_of,faction_tolanites,person,faction,person|faction,False,membership
person_ronric,current_member_of,faction_hands,person,faction,person|faction,False,membership
person_saphira,current_member_of,org_party,person,org,person|org,False,membership
person_shworn,current_member_of,faction_sleepsong,person,faction,person|faction,False,membership
person_shworn,current_member_of,org_king,person,org,person|org,False,membership
person_tanzo,current_member_of,org_iwtc,person,org,person|org,False,membership
person_terry,current_member_of,org_party,person,org,person|org,False,membership
person_todd,current_member_of,faction_hands,person,faction,person|faction,False,membership
person_torchholder,current_member_of,org_king,person,org,person|org,False,membership
person_unala,current_member_of,org_party,person,org,person|org,False,membership
person_victor,current_member_of,org_party,person,org,person|org,False,membership
person_vyssa,current_member_of,faction_hands,person,faction,person|faction,False,membership
person_zedna,current_member_of,org_arcana,person,org,person|org,False,membership
person_mercy,defender_of,org_myconids,person,org,person|org,False,political
person_azaar,former_member_of,org_party,person,org,person|org,False,membership
person_bear,former_member_of,org_party,person,org,person|org,False,membership
person_braydon,former_member_of,org_ravencrest,person,org,person|org,False,membership
person_bre,former_member_of,org_party,person,org,person|org,False,membership
person_clara,former_member_of,org_party,person,org,person|org,False,membership
person_cursin,former_member_of,org_party,person,org,person|org,False,membership
person_darren,former_member_of,org_party,person,org,person|org,False,membership
person_drib,former_member_of,org_party,person,org,person|org,False,membership
person_faeryne,former_member_of,faction_foreclaimers,person,faction,person|faction,False,membership
person_fulbert,former_member_of,org_party,person,org,person|org,False,membership
person_garrick,former_member_of,org_party,person,org,person|org,False,membership
person_henry,former_member_of,faction_sleepsong,person,faction,person|faction,False,membership
person_henry,former_member_of,org_party,person,org,person|org,False,membership
person_idolus,former_member_of,org_party,person,org,person|org,False,membership
person_jane,former_member_of,org_party,person,org,person|org,False,membership
person_mowser,former_member_of,org_party,person,org,person|org,False,membership
person_sala,former_member_of,org_party,person,org,person|org,False,membership
person_tanzo,former_member_of,org_party,person,org,person|org,False,membership
person_tiber,former_member_of,org_party,person,org,person|org,False,membership
person_touya,former_member_of,org_party,person,org,person|org,False,membership
person_urgulk,former_member_of,org_party,person,org,person|org,False,membership
person_victor,former_member_of,faction_hands,person,faction,person|faction,False,membership
person_victor,former_member_of,org_academy,person,org,person|org,False,membership
person_vyssa,former_member_of,org_academy,person,org,person|org,False,membership
faction_modrons,invaded,place_crafthold,faction,place,faction|place,False,event
person_kavar,investigating,org_ravencrest,person,org,person|org,False,activity
person_credus,knows_about,faction_foreclaimers,person,faction,person|faction,False,knowledge
person_cunai,knows_about,faction_foreclaimers,person,faction,person|faction,False,knowledge
org_king,leader_of,place_elulind,org,place,org|place,False,leadership
person_anthony,leader_of,org_king,person,org,person|org,False,leadership
person_caldwell,leader_of,faction_jackals,person,faction,person|faction,False,leadership
