chunk_id,source_id,source_type,relpath,chunk_start_line,chunk_end_line,entity_ids,canonicals,entity_count,matched_vocabs,match_kinds
169186,_local/pbp_transcripts/PbP10 - The Second Camp.md,pbp_transcripts,_local/pbp_transcripts/PbP10 - The Second Camp.md,1,5,factn_spencer|pers_shworn|pers_victor|pers_piers,The Spencer Heir|Shworn Sleepsong|Victor D Evernight|Piers Ashton,4,Spencer|Shworn|Victor|Piers,alias
169187,_local/pbp_transcripts/PbP10 - The Second Camp.md,pbp_transcripts,_local/pbp_transcripts/PbP10 - The Second Camp.md,6,10,pers_shworn|pers_henry,Shworn Sleepsong|Henry Sleepsong,2,Shworn|Henry,alias
169188,_local/pbp_transcripts/PbP10 - The Second Camp.md,pbp_transcripts,_local/pbp_transcripts/PbP10 - The Second Camp.md,11,15,pers_alivyre,Alivyre Dawntracker,1,Alivyre,alias
169189,_local/pbp_transcripts/PbP10 - The Second Camp.md,pbp_transcripts,_local/pbp_transcripts/PbP10 - The Second Camp.md,16,20,pers_piers,Piers Ashton,1,Piers,alias
169190,_local/pbp_transcripts/PbP10 - The Second Camp.md,pbp_transcripts,_local/pbp_transcripts/PbP10 - The Second Camp.md,21,25,pers_victor|pers_piers,Victor D Evernight|Piers Ashton,2,Victor|Piers,alias
169191,_local/pbp_transcripts/PbP10 - The Second Camp.md,pbp_transcripts,_local/pbp_transcripts/PbP10 - The Second Camp.md,26,30,pers_shworn,Shworn Sleepsong,1,Shworn,alias
169193,_local/pbp_transcripts/PbP10 - The Second Camp.md,pbp_transcripts,_local/pbp_transcripts/PbP10 - The Second Camp.md,37,41,pers_victor,Victor D Evernight,1,Victor,alias
169194,_local/pbp_transcripts/PbP10 - The Second Camp.md,pbp_transcripts,_local/pbp_transcripts/PbP10 - The Second Camp.md,42,48,org_remedy|pers_alivyre|loc_elysia|pers_shworn|pers_victor|pers_emily|pers_piers|org_iwtc,Airmid's Remedy|Alivyre Dawntracker|Elysia|Shworn Sleepsong|Victor D Evernight|Emily Ashton|Piers Ashton|Iron Wolf Trading Company,8,Airmid's Remedy|Alivyre|Elysia|Shworn|Victor|Emily|Piers|IWTC,canonical|alias
169195,_local/pbp_transcripts/PbP10 - The Second Camp.md,pbp_transcripts,_local/pbp_transcripts/PbP10 - The Second Camp.md,49,54,play_crowe|play_kalina|play_bysickle|pers_shworn|pers_piers|org_iwtc,Crowe|Kalina|Bysickle|Shworn Sleepsong|Piers Ashton|Iron Wolf Trading Company,6,CroweTheDualityKing|Kalina Hitana|Bysickle|Shworn|Piers|IWTC,alias|canonical
169196,_local/pbp_transcripts/PbP10 - The Second Camp.md,pbp_transcripts,_local/pbp_transcripts/PbP10 - The Second Camp.md,55,61,play_crowe|play_kalina|play_bysickle|pers_shworn|pers_piers|creat_ash,Crowe|Kalina|Bysickle|Shworn Sleepsong|Piers Ashton|Ash,6,CroweTheDualityKing|Kalina Hitana|Bysickle|Shworn|Piers|Ash,alias|canonical
169197,_local/pbp_transcripts/PbP10 - The Second Camp.md,pbp_transcripts,_local/pbp_transcripts/PbP10 - The Second Camp.md,62,66,pers_victor|pers_emily|pers_piers,Victor D Evernight|Emily Ashton|Piers Ashton,3,Victor|Emily|Piers,alias
169198,_local/pbp_transcripts/PbP10 - The Second Camp.md,pbp_transcripts,_local/pbp_transcripts/PbP10 - The Second Camp.md,67,71,pers_victor|pers_emily|pers_piers|pers_aren,Victor D Evernight|Emily Ashton|Piers Ashton|Aren,4,Victor|Emily|Piers|Aren,alias|canonical
169200,_local/pbp_transcripts/PbP10 - The Second Camp.md,pbp_transcripts,_local/pbp_transcripts/PbP10 - The Second Camp.md,77,81,pers_faeryne,Faeryne,1,Faeryne,canonical
169201,_local/pbp_transcripts/PbP10 - The Second Camp.md,pbp_transcripts,_local/pbp_transcripts/PbP10 - The Second Camp.md,82,86,pers_faeryne|pers_victor,Faeryne|Victor D Evernight,2,Faeryne|Victor,canonical|alias
169202,_local/pbp_transcripts/PbP10 - The Second Camp.md,pbp_transcripts,_local/pbp_transcripts/PbP10 - The Second Camp.md,87,91,pers_faeryne|pers_piers,Faeryne|Piers Ashton,2,Faeryne|Piers,canonical|alias
169203,_local/pbp_transcripts/PbP10 - The Second Camp.md,pbp_transcripts,_local/pbp_transcripts/PbP10 - The Second Camp.md,92,96,org_hands|pers_piers,Hands of Liamassa|Piers Ashton,2,Hands|Piers|Hand,alias
169204,_local/pbp_transcripts/PbP10 - The Second Camp.md,pbp_transcripts,_local/pbp_transcripts/PbP10 - The Second Camp.md,97,101,org_academy_elysia|loc_elysia|pers_victor|pers_piers,Elysian Academy|Elysia|Victor D Evernight|Piers Ashton,4,Academy|Elysia|Victor|Piers,alias|canonical
169205,_local/pbp_transcripts/PbP10 - The Second Camp.md,pbp_transcripts,_local/pbp_transcripts/PbP10 - The Second Camp.md,102,107,play_bysickle|pers_alivyre|pers_faeryne|pers_shworn|pers_victor|pers_emily|pers_piers,Bysickle|Alivyre Dawntracker|Faeryne|Shworn Sleepsong|Victor D Evernight|Emily Ashton|Piers Ashton,7,Bysickle|Alivyre|Faeryne|Shworn|Victor|Emily|Piers,canonical|alias
169206,_local/pbp_transcripts/PbP10 - The Second Camp.md,pbp_transcripts,_local/pbp_transcripts/PbP10 - The Second Camp.md,108,112,pers_shworn,Shworn Sleepsong,1,Shworn,alias
169211,_local/pbp_transcripts/PbP10 - The Second Camp.md,pbp_transcripts,_local/pbp_transcripts/PbP10 - The Second Camp.md,133,148,pers_shworn,Shworn Sleepsong,1,Shworn,alias
169212,_local/pbp_transcripts/PbP10 - The Second Camp.md,pbp_transcripts,_local/pbp_transcripts/PbP10 - The Second Camp.md,149,153,pers_shworn,Shworn Sleepsong,1,Shworn,alias
169213,_local/pbp_transcripts/PbP10 - The Second Camp.md,pbp_transcripts,_local/pbp_transcripts/PbP10 - The Second Camp.md,154,161,play_charis|pers_henry,Charis|Henry Sleepsong,2,Charis|Henry,canonical|alias
169215,_local/pbp_transcripts/PbP10 - The Second Camp.md,pbp_transcripts,_local/pbp_transcripts/PbP10 - The Second Camp.md,169,173,pers_henry,Henry Sleepsong,1,Henry,alias
169216,_local/pbp_transcripts/PbP10 - The Second Camp.md,pbp_transcripts,_local/pbp_transcripts/PbP10 - The Second Camp.md,174,180,play_bysickle,Bysickle,1,Bysickle,canonical
