predicate,reverse_predicate,include,relationship_class
allied_with,allied_with,True,political
ambassador_to,has_ambassador,False,diplomatic
at_war_with,at_war_with,False,political
based_at,base_of,True,location
belongs_to,owns,False,ownership
built,built_by,False,event
conquered,conquered_by,False,event
current_member_of,has_member,True,membership
defender_of,defended_by,False,political
former_member_of,had_member,True,membership
holds_office,held_by,True,organizational
invaded,invaded_by,False,event
investigating,investigated_by,True,activity
knows_about,known_by,False,knowledge
leader_of,led_by,True,leadership
married_with,married_with,True,kinship
neighbor_with,neighbor_with,False,geopolitical
operates_in,host_to,True,location
operates,operated_by,True,organizational
opposes,opposed_by,True,political
parent_of,child_of,True,kinship
patrols_to,patrolled_by,False,activity
protects,protected_by,True,political
reports_to,supervises,True,organizational
rescued,rescued_by,False,event
rival_of,rival_of,True,political
sibling_with,sibling_with,True,kinship
target_of,targets,False,event
tortured_by,tortured,False,event
former_holder_of,formerly_held_by,True,organizational
located_in,contains,True,geopolitical
holds_assets_from,assets_held_by,False,ownership
attempted_exorcism_on,exorcism_attempted_by,True,event
