subject_id,predicate,object_id
loc_string,based_at,loc_dhassa
loc_string,belongs_to,org_sleepsong
off_lead_sleepsong,leader_of,org_sleepsong
pers_bill,based_at,loc_dhassa
pers_bill,current_member_of,org_sleepsong
pers_bill,operates,loc_string
pers_eira,current_member_of,org_sleepsong
pers_eira,holds_office,off_lead_sleepsong
pers_henry,former_member_of,org_sleepsong
pers_shworn,current_member_of,org_sleepsong
pers_william,former_member_of,org_sleepsong
off_lead_sleepsong,reports_to,pers_anthony
org_sleepsong,rival_of,org_diamond
pers_eira,parent_of,pers_henry
pers_eira,parent_of,pers_shworn
pers_eira,sibling_with,pers_william
pers_henry,sibling_with,pers_shworn
pers_anthony,holds_office,off_lead_elulind
off_lead_elulind,leader_of,org_elulind
off_lead_chancery,leader_of,org_chancery
off_lead_royal_house,leader_of,org_dhassa_house
off_lead_military,leader_of,org_military
off_lead_diamond,leader_of,org_diamond
off_lead_chancery,current_member_of,org_elulind
off_lead_royal_house,current_member_of,org_elulind
off_lead_military,current_member_of,org_elulind
off_lead_diamond,current_member_of,org_elulind
pers_torchholder,holds_office,off_lead_diamond
pers_loris,holds_office,off_lead_royal_house
pers_cullen,holds_office,off_lead_military
pers_fenrir,holds_office,off_lead_rangers
pers_zohra,holds_office,off_weapons_master
off_lead_rangers,reports_to,off_lead_military
off_weapons_master,reports_to,off_lead_palace_guard
off_lead_palace_guard,reports_to,off_lead_military
off_lead_rangers,leader_of,org_rangers
art_folly,belongs_to,org_folly
org_folly,based_at,loc_crafthold
off_lead_folly,leader_of,org_folly
off_dpty_folly,reports_to,off_lead_folly
off_ops_folly,reports_to,off_lead_folly
pers_grace,holds_office,off_lead_folly
pers_sekani,holds_office,off_dpty_folly
pers_hrafn,holds_office,off_ops_folly
role_logis_folly_quartermaster,current_member_of,org_folly
role_eng_folly_sailing_master,current_member_of,org_folly
role_craft_folly_carpenter,current_member_of,org_folly
role_craft_folly_tinker,current_member_of,org_folly
role_med_folly_healer,current_member_of,org_folly
role_arc_folly_mage,current_member_of,org_folly
role_recon_folly_scout,current_member_of,org_folly
role_cmb_folly_striker,current_member_of,org_folly
role_rng_folly_sniper,current_member_of,org_folly
role_cmb_folly_fighter,current_member_of,org_folly
role_ops_folly_cabin_boy,current_member_of,org_folly
role_ops_folly_powder_monkey,current_member_of,org_folly
pers_ebele,current_member_of,role_logis_folly_quartermaster
pers_sens,current_member_of,role_eng_folly_sailing_master
pers_draug,current_member_of,role_craft_folly_carpenter
pers_tawyn,current_member_of,role_craft_folly_tinker
pers_josiah,current_member_of,role_med_folly_healer
pers_kate,current_member_of,role_arc_folly_mage
pers_kierton,current_member_of,role_recon_folly_scout
pers_rhona,current_member_of,role_recon_folly_scout
pers_horrom,current_member_of,role_cmb_folly_striker
pers_katia,current_member_of,role_rng_folly_sniper
pers_venfi,current_member_of,role_cmb_folly_fighter
pers_quave,current_member_of,role_cmb_folly_fighter
pers_jamfyr,current_member_of,role_cmb_folly_fighter
pers_urmrig,current_member_of,role_cmb_folly_fighter
pers_rami,current_member_of,role_cmb_folly_fighter
pers_andrei,current_member_of,role_cmb_folly_fighter
pers_malou,current_member_of,role_cmb_folly_fighter
pers_nala,current_member_of,role_cmb_folly_fighter
pers_aren,current_member_of,role_ops_folly_cabin_boy
pers_charlie,current_member_of,role_ops_folly_cabin_boy
pers_obby,current_member_of,role_ops_folly_cabin_boy
pers_taylor,current_member_of,role_ops_folly_powder_monkey
pers_quinn,current_member_of,role_ops_folly_powder_monkey
pers_robbie,current_member_of,role_ops_folly_powder_monkey
org_ch_hall,current_member_of,org_crafthold
org_ch_greenhouse,current_member_of,org_crafthold
org_ch_forge,current_member_of,org_crafthold
org_ironfang,current_member_of,org_crafthold
org_iwtc,current_member_of,org_crafthold
org_ch_stables,current_member_of,org_crafthold
org_ch_farm,current_member_of,org_crafthold
org_ch_square,current_member_of,org_crafthold
org_ch_residents,current_member_of,org_crafthold
org_ch_guests,current_member_of,org_crafthold
org_ch_warehouse,current_member_of,org_crafthold
org_krach-ul,current_member_of,org_crafthold
org_krach-ul,former_member_of,factn_krach-ul
org_krach-ul_cavekeepers,current_member_of,org_krach-ul
org_krach-ul_handlers,current_member_of,org_krach-ul
off_lead_crafthold,leader_of,org_crafthold
off_lead_ch_greenhouse,leader_of,org_ch_greenhouse
off_lead_ch_forge,leader_of,org_ch_forge
off_lead_ironfang,leader_of,org_ironfang
off_lead_ch_stables,leader_of,org_ch_stables
off_lead_ch_farm,leader_of,org_ch_farm
off_lead_ch_square,leader_of,org_ch_square
off_lead_ch_warehouse,leader_of,org_ch_warehouse
off_lead_ch_guests,leader_of,org_ch_guests
off_lead_krach-ul,leader_of,org_krach-ul
off_dpty_krach-ul,reports_to,off_lead_krach-ul
pers_dorgath_stoneeye,holds_office,off_lead_krach-ul
pers_varkha_redtusks,holds_office,off_dpty_krach-ul
off_lead_krach-ul_cavekeepers,leader_of,org_krach-ul_cavekeepers
off_lead_krach-ul_handlers,leader_of,org_krach-ul_handlers
pers_sarga_bonebraid,holds_office,off_lead_krach-ul_cavekeepers
pers_thraga,holds_office,off_lead_krach-ul_handlers
pers_mercy,holds_office,off_lead_crafthold
pers_jane,holds_office,off_lead_ch_greenhouse
pers_fritz,holds_office,off_lead_ch_forge
pers_tanzo,holds_office,off_lead_ironfang
pers_connor,holds_office,off_lead_ch_stables
pers_alina,holds_office,off_lead_ch_farm
pers_hugh_calder,holds_office,off_lead_ch_warehouse
pers_norris,holds_office,off_lead_ch_guests
pers_sarga_bonebraid,current_member_of,org_krach-ul_cavekeepers
pers_grummol_hearthhand,current_member_of,org_krach-ul_cavekeepers
pers_velka_ironstitch,current_member_of,org_krach-ul_cavekeepers
pers_thraga,current_member_of,org_krach-ul_handlers
pers_mornak,current_member_of,org_krach-ul_handlers
pers_urla,current_member_of,org_krach-ul_handlers
pers_druven,current_member_of,org_krach-ul_handlers
pers_kelrag,current_member_of,org_krach-ul_handlers
pers_gorvak_krachul,current_member_of,org_krach-ul_handlers
pers_poppy,current_member_of,org_ch_hall
pers_darren,current_member_of,org_ch_hall
pers_cara,current_member_of,org_ch_hall
pers_sarai,current_member_of,org_ch_greenhouse
pers_azaar,current_member_of,org_ch_greenhouse
pers_addy,current_member_of,org_ch_forge
pers_jemmy,current_member_of,org_ironfang
pers_victor,current_member_of,org_ironfang
pers_bre,current_member_of,org_ironfang
pers_alivyre,current_member_of,org_iwtc
pers_henry,current_member_of,org_iwtc
pers_faeryne,current_member_of,org_iwtc
pers_lia,current_member_of,org_iwtc
pers_robart_thayne,current_member_of,org_ch_stables
pers_catrin_woodwell,current_member_of,org_ch_stables
pers_jonas_fenwick,current_member_of,org_ch_farm
pers_edric_tanner,current_member_of,org_ch_farm
pers_maribel_holt,current_member_of,org_ch_farm
pers_clara,current_member_of,org_ch_square
pers_bixley,current_member_of,org_ch_square
pers_sala,current_member_of,org_ch_residents
pers_liacyne,current_member_of,org_ch_residents
pers_saphira,current_member_of,org_ch_residents
pers_unala,current_member_of,org_ch_residents
pers_aniya,current_member_of,org_ch_residents
pers_liavarah,current_member_of,org_ch_residents
pers_katy,current_member_of,org_ch_residents
pers_urgulk,current_member_of,org_ch_residents
pers_garrick,current_member_of,org_ch_residents
pers_mowser,current_member_of,org_ch_residents
pers_eghad,current_member_of,org_ch_guests
pers_holly,current_member_of,org_ch_guests
pers_elaris,current_member_of,org_ch_guests
pers_cunai,current_member_of,org_ch_guests
pers_nella_dyer,current_member_of,org_ch_warehouse
role_cmb_ironfang_builder,current_member_of,org_ironfang
role_cmb_ironfang_miner,current_member_of,org_ironfang
role_craft_ch_hall_brewer,current_member_of,org_ch_hall
role_ops_ch_stables_breeder,current_member_of,org_ch_stables
role_recon_ch_stables_hunter,current_member_of,org_ch_stables
role_ops_ch_stables_teamster,current_member_of,org_ch_stables
pers_spike,current_member_of,role_cmb_ironfang_builder
pers_claw,current_member_of,role_cmb_ironfang_builder
pers_hammer,current_member_of,role_cmb_ironfang_builder
pers_shadow,current_member_of,role_cmb_ironfang_miner
pers_light,current_member_of,role_cmb_ironfang_miner
pers_kaitlyn,current_member_of,role_craft_ch_hall_brewer
pers_david_herder,current_member_of,role_ops_ch_stables_breeder
pers_david_bowie,current_member_of,role_recon_ch_stables_hunter
pers_soren,current_member_of,role_ops_ch_stables_teamster
pers_melba,holds_office,off_lead_river_valley_farms
pers_eardwulf,holds_office,off_dpty_river_valley_farms
off_lead_river_valley_farms,leader_of,org_river_valley_farms
off_dpty_river_valley_farms,reports_to,off_lead_river_valley_farms
org_cavekeepers,current_member_of,org_orcs
org_red_fang,current_member_of,org_orcs
factn_huvorgha,current_member_of,org_orcs
factn_burzath,current_member_of,org_orcs
factn_krach-ul,current_member_of,org_orcs
factn_ilguz,current_member_of,org_orcs
factn_dakgorim,former_member_of,factn_ilguz
pers_khagra_warhammer,holds_office,off_lead_orcs
pers_orgoth_one_eye,holds_office,off_lead_orc_religion
off_lead_orcs,leader_of,org_orcs
off_lead_orc_religion,leader_of,org_orc_religion
org_orc_religion,current_member_of,org_orcs
org_rarmal,current_member_of,org_orcs
off_lead_rarmal,leader_of,org_rarmal
pers_ungagh_bloodaxe,current_member_of,factn_burzath
pers_ungagh_bloodaxe,former_holder_of,off_lead_rarmal
org_rarmal,current_member_of,factn_dakgorim
org_rarmal,former_member_of,factn_burzath
role_ops_orc_mining_squadleader,reports_to,factn_krach-ul
pers_mazorn_blindscar,former_member_of,role_ops_orc_mining_squadleader
off_dpty_cavekeepers,leader_of,org_cavekeepers
pers_aurdac_cefthed,holds_office,off_dpty_cavekeepers
org_red_fang_squad_gremze,current_member_of,org_red_fang
off_lead_red_fang_squad_gremze,leader_of,org_red_fang_squad_gremze
pers_gremze,holds_office,off_lead_red_fang_squad_gremze
off_lead_ravens,leader_of,org_ravens
off_dpty_ravens,reports_to,off_lead_ravens
off_lead_jackals,leader_of,org_jackals
off_dpty_jackals,reports_to,off_lead_jackals
org_ravens,based_at,loc_monadh_mor
org_jackals,based_at,loc_monadh_mor
pers_newberry,holds_office,off_lead_ravens
pers_jessie_hobbs,holds_office,off_dpty_ravens
pers_caldwell,holds_office,off_lead_jackals
pers_taylor_ochoa,holds_office,off_dpty_jackals
off_ops_ravens_spymaster,current_member_of,org_ravens
off_ops_ravens_spymaster,reports_to,off_lead_ravens
pers_olivia_rios,holds_office,off_ops_ravens_spymaster
role_ops_jackals_sergeant,current_member_of,org_jackals
pers_jareth_heartarm,current_member_of,role_ops_jackals_sergeant
pers_brigitte_ware,former_holder_of,off_lead_wolfstream
pers_frita,former_holder_of,off_ops_wolfstream_blacksmith
pers_harold,former_holder_of,off_ops_wolfstream_herbalist
pers_norris,former_holder_of,off_lead_wolfstream_hospitaller
pers_george,former_holder_of,off_ops_wolfstream_hunters
pers_goren,former_holder_of,off_lead_wolfstream_stables
pers_bella,former_holder_of,off_ops_wolfstream_weaver
